School,Borough,Tested,Passed,8th graders,7,Gain/Loss,% Tested,% Passed,% Passed Overall,% Asian,% Black,% Hispanic,% White,% with Disabilities,% ELL,% Poverty,Economic Need Index
J.H.S. 162 The Willoughby,Brooklyn,8,s,162,11,,4.9,,,3.3,5.6,87.5,2.8,23.9,18.1,90.3,91.8%
J.H.S. 291 Roland Hayes,Brooklyn,8,s,105,7,,7.6,,,1.1,14.6,82.1,1.4,25.7,28.2,96.8,95.5%
I.S. 347 School of Humanities,Brooklyn,11,s,99,7,,11.1,,,1.3,4.5,92.3,1.6,24.0,17.0,94.6,90.5%
"I.S. 349 Math, Science & Tech.",Brooklyn,7,s,82,6,,8.5,,,0.3,11.0,87.7,1.0,21.3,23.5,97.7,93.1%
P.S. 377 Alejandrina B. De Gautier,Brooklyn,20,s,45,3,,44.4,,,1.3,19.0,79.0,0.6,32.1,17.8,93.3,85.2%
J.H.S. 383 Philippa Schuyler,Brooklyn,179,s,284,20,,63.0,,,4.4,35.6,56.9,1.7,15.3,4.8,83.4,74.6%
P.S. /I.S. 384 Frances E. Carter,Brooklyn,8,s,58,4,,13.8,,,0.8,12.1,86.4,0.4,25.3,26.7,87.5,91.9%
All City Leadership Secondary School,Brooklyn,22,s,59,4,,37.3,,,7.1,8.3,76.3,8.0,8.0,1.6,85.3,70.2%
Evergreen Middle School for Urban Exploration,Brooklyn,10,s,96,7,,10.4,,,0.3,24.9,72.2,2.6,25.1,17.5,90.4,90.7%
P.S. K140,Brooklyn,s,s,30,2,,#VALUE!,,,3.0,66.3,24.8,2.0,99.7,9.2,89.4,92.4%
P.S. K369 - Coy L. Cox School,Brooklyn,s,s,59,4,,#VALUE!,,,5.2,55.7,30.8,7.2,99.8,11.9,88.6,90.1%
P.S. M094,Manhattan,s,s,24,2,,#VALUE!,,,7.1,30.4,44.6,16.7,99.8,18.4,82.4,85.1%
South Richmond High School I.S./P.S. 25,Staten Island,s,s,75,5,,#VALUE!,,,1.8,38.6,30.2,27.9,99.8,3.6,85.5,87.1%
P.S. X017,Bronx,s,s,44,3,,#VALUE!,,,1.9,38.5,53.1,4.5,99.8,19.0,90.4,93.3%
P.S. 168,Bronx,s,s,46,3,,#VALUE!,,,3.2,34.1,60.1,1.9,99.8,21.9,89.1,91.8%
P.S. X176,Bronx,s,s,96,7,,#VALUE!,,,2.1,42.1,48.4,6.3,100.0,10.6,81.6,84.9%
Explore Exceed Charter School,Brooklyn,38,s,53,4,,71.7,,,2.8,72.9,22.2,0.2,23.6,7.9,77.8,73.2%
Williamsburg Collegiate Charter School,Brooklyn,22,s,81,6,,27.2,,,0.3,27.2,71.2,1.2,21.7,6.8,83.9,78.3%
Achievement First Crown Heights Charter School,Brooklyn,49,s,80,6,,61.3,,,0.3,94.6,3.8,0.4,16.2,0.2,75.1,64.5%
KIPP AMP Charter School,Brooklyn,35,s,78,5,,44.9,,,1.6,86.0,9.6,0.4,16.8,1.9,84.1,77.3%
Achievement First East New York Charter School,Brooklyn,25,s,60,4,,41.7,,,0.7,75.5,21.5,0.6,12.7,1.9,83.5,73.0%
Launch Expeditionary Learning Charter School,Brooklyn,27,s,108,8,,25.0,,,1.3,81.5,13.6,0.7,25.5,4.3,93.7,87.1%
Explore Excel Charter School,Brooklyn,23,s,60,4,,38.3,,,1.1,91.7,4.4,0.6,18.6,6.3,78.7,63.8%
Invictus Preparatory Charter School,Brooklyn,30,s,91,6,,33.0,,,6.2,69.4,22.9,0.8,22.1,8.9,76.4,82.3%
Achievement First Endeavor Charter School,Brooklyn,32,s,80,6,,40.0,,,0.5,84.8,12.7,0.9,15.1,0.9,79.0,71.2%
Leadership Prep Bedford Stuyvesant Uncommon Prep C,Brooklyn,56,s,82,6,,68.3,,,1.0,81.6,12.1,1.2,10.6,2.3,79.4,72.6%
Community Roots Charter School,Brooklyn,16,s,55,4,,29.1,,,5.3,29.1,16.0,40.9,21.5,1.7,29.1,37.5%
Achievement First Bushwick Charter School,Brooklyn,53,s,94,7,,56.4,,,1.2,30.3,67.6,0.7,18.5,10.3,84.5,77.9%
Excellence Boys Charter School,Brooklyn,39,s,96,7,,40.6,,,3.2,82.0,10.7,1.3,17.2,1.7,75.7,69.6%
Kings Collegiate Charter School,Brooklyn,27,s,86,6,,31.4,,,0.3,90.0,7.2,0.3,15.5,1.1,76.4,69.5%
Achievement First Brownsville Charter School,Brooklyn,55,s,89,6,,61.8,,,0.9,86.4,11.0,0.4,12.3,2.5,83.4,76.2%
Bedford Stuyvesant Collegiate Charter School,Brooklyn,37,s,87,6,,42.5,,,1.4,63.0,32.5,0.6,15.3,4.2,70.9,74.5%
PAVE Academy Charter School,Brooklyn,41,s,46,3,,89.1,,,1.9,42.0,53.9,1.6,18.5,10.1,87.0,85.3%
Brooklyn Ascend Charter School,Brooklyn,48,s,109,8,,44.0,,,0.6,94.1,3.9,0.1,12.6,1.0,81.9,68.3%
Community Partnership Charter School,Brooklyn,17,s,49,3,,34.7,,,1.5,75.8,19.5,1.0,16.5,2.5,86.2,77.1%
Explore Charter School,Brooklyn,37,s,57,4,,64.9,,,0.0,82.4,14.4,0.2,13.5,6.6,76.5,70.0%
Brownsville Collegiate Charter School,Brooklyn,29,s,77,5,,37.7,,,0.9,66.2,25.9,0.9,18.4,6.1,86.0,81.9%
Leadership Preparatory Brownsville Charter School,Brooklyn,31,s,74,5,,41.9,,,0.1,83.7,14.7,0.4,12.6,2.0,90.6,80.7%
Excellence Girls Charter School,Brooklyn,59,s,110,8,,53.6,,,1.9,78.0,16.4,0.6,10.5,1.7,71.6,66.6%
Leadership Prep Canarsie Charter School (Leadershi,Brooklyn,21,s,90,6,,23.3,,,0.5,91.0,5.4,0.7,12.3,0.4,81.0,58.9%
Summit Academy Charter School,Brooklyn,7,s,47,3,,14.9,,,0.6,46.1,47.6,2.4,19.9,6.3,83.0,82.4%
Brooklyn Excelsior Charter School,Brooklyn,23,s,63,4,,36.5,,,1.0,79.4,18.1,0.5,14.6,3.5,73.1,80.0%
Brownsville Ascend Charter School,Brooklyn,24,s,110,8,,21.8,,,0.7,86.4,10.2,0.7,13.3,0.9,73.4,78.2%
Brooklyn Scholars Charter School,Brooklyn,26,s,72,5,,36.1,,,7.1,67.8,23.2,0.1,10.8,1.6,69.5,77.6%
Explore Empower Charter School,Brooklyn,26,s,56,4,,46.4,,,1.1,87.6,8.8,1.0,23.3,5.4,81.3,79.6%
Coney Island Preparatory Public Charter School,Brooklyn,22,s,90,6,,24.4,,,8.9,38.2,34.6,16.2,23.7,5.2,82.8,77.5%
Hebrew Language Academy Charter School,Brooklyn,26,s,64,4,,40.6,,,1.5,47.9,5.1,43.8,19.3,5.8,67.3,52.7%
Unity Prep Charter School,Brooklyn,15,s,105,7,,14.3,,,0.6,77.7,17.7,1.1,22.3,5.5,76.6,77.3%
Achievement First Apollo Charter School,Brooklyn,65,s,77,5,,84.4,,,4.7,60.5,32.5,1.2,12.0,6.2,85.6,76.6%
Leadership Preparatory Ocean Hill Charter School,Brooklyn,43,s,85,6,,50.6,,,0.9,83.8,11.5,0.7,10.1,2.4,81.6,73.8%
Ocean Hill Collegiate Charter School,Brooklyn,46,s,80,6,,57.5,,,0.9,83.1,11.3,0.3,11.9,3.0,81.9,70.3%
Brooklyn East Collegiate Charter School,Brooklyn,54,s,86,6,,62.8,,,1.8,81.0,7.3,0.9,16.8,2.1,80.1,68.4%
Bedford Stuyvesant New Beginnings Charter School,Brooklyn,26,s,60,4,,43.3,,,0.1,52.8,45.4,0.9,19.5,13.0,92.8,87.5%
Brooklyn Dreams Charter School,Brooklyn,29,s,70,5,,41.4,,,16.6,60.6,17.9,2.5,14.3,10.9,62.4,68.6%
Bushwick Ascend Charter School,Brooklyn,25,s,73,5,,34.2,,,1.1,22.0,75.2,1.0,16.0,16.8,82.2,80.1%
Brooklyn LABCharter School,Brooklyn,40,s,135,9,,29.6,,,1.7,78.3,15.2,1.7,29.2,1.8,67.4,74.9%
Democracy Prep Endurance Charter School,Manhattan,26,s,103,7,,25.2,,,0.3,66.3,30.1,1.0,20.2,5.5,75.5,77.2%
KIPP Washington Heights Middle School,Manhattan,19,s,82,6,,23.2,,,0.1,10.3,88.3,0.8,18.3,11.1,89.9,83.5%
Great Oaks Charter School,Manhattan,27,s,71,5,,38.0,,,8.4,25.6,61.9,2.8,29.8,4.2,69.3,72.7%
Capital Preparatory (CP) Harlem Charter School,Manhattan,s,s,82,6,,#VALUE!,,,0.4,72.1,26.2,0.0,21.9,1.7,60.9,72.8%
The Opportunity Charter School,Manhattan,12,s,71,5,,16.9,,,1.4,50.9,45.3,0.5,62.4,9.6,81.2,85.7%
Harlem Children's Zone Promise Academy 1 Charter S,Manhattan,23,s,88,6,,26.1,,,0.3,80.6,16.5,0.8,15.9,3.5,85.3,82.3%
Girls Preparatory Charter School of New York,Manhattan,16,s,54,4,,29.6,,,2.1,46.6,46.3,2.0,16.7,2.1,78.4,75.6%
Harlem Village Academy Leadership Charter School,Manhattan,10,s,55,4,,18.2,,,0.5,62.9,33.9,0.7,20.0,1.2,81.3,81.2%
KIPP Infinity Charter School,Manhattan,15,s,94,7,,16.0,,,0.4,28.2,69.6,1.3,23.1,10.1,87.7,83.0%
Harlem Children's Zone Promise Academy II Charter,Manhattan,18,s,76,5,,23.7,,,0.6,82.1,14.7,0.5,14.6,3.1,82.2,82.7%
Democracy Prep Charter School,Manhattan,27,s,105,7,,25.7,,,0.9,66.2,30.4,0.9,16.9,5.1,83.0,76.0%
Success Academy Charter School - Harlem 1,Manhattan,35,s,102,7,,34.3,,,1.1,71.7,22.6,1.7,14.5,2.5,73.1,72.7%
New Heights Academy Charter School,Manhattan,s,s,99,7,,#VALUE!,,,0.1,4.1,95.7,0.1,13.7,12.4,93.8,89.3%
DREAM Charter School,Manhattan,16,s,54,4,,29.6,,,1.6,30.5,65.3,1.2,26.8,6.5,86.0,84.9%
Success Academy Charter School - Harlem 2,Manhattan,37,s,70,5,,52.9,,,1.7,67.0,28.7,1.7,17.2,3.1,77.7,75.8%
Success Academy Charter School - Harlem 3,Manhattan,29,s,68,5,,42.6,,,1.1,61.2,33.6,1.8,19.0,3.3,74.7,75.8%
Success Academy Charter School - Harlem 4,Manhattan,20,s,67,5,,29.9,,,1.6,63.2,29.4,2.9,19.2,5.0,74.8,75.0%
St. HOPE Leadership Academy Charter School,Manhattan,22,s,84,6,,26.2,,,1.7,58.8,37.2,0.7,21.9,7.3,93.4,86.4%
The Equity Project Charter School (TEP),Manhattan,38,s,113,8,,33.6,,,0.1,3.6,95.1,0.7,21.3,28.1,90.6,82.5%
Inwood Academy for Leadership Charter School,Manhattan,20,s,121,8,,16.5,,,0.5,5.7,92.3,0.5,21.7,14.3,92.2,81.2%
Democracy Prep Harlem Charter School,Manhattan,21,s,108,8,,19.4,,,0.6,64.6,32.5,0.6,15.9,6.4,84.8,81.0%
Success Academy Charter School - Harlem 5,Manhattan,40,s,60,4,,66.7,,,1.1,67.8,27.2,1.1,17.2,5.5,82.1,79.9%
Harbor Science and Arts Charter School,Manhattan,7,s,21,1,,33.3,,,1.2,55.2,41.2,0.8,22.8,2.8,73.2,82.0%
Harlem Prep Charter School,Manhattan,13,s,100,7,,13.0,,,0.8,56.5,40.7,0.6,17.8,5.2,87.6,84.6%
Harlem Village Academy Charter School,Manhattan,8,s,56,4,,14.3,,,0.4,77.7,18.9,1.1,20.3,4.1,80.0,76.4%
KIPP STAR College Prep Charter School,Manhattan,18,s,68,5,,26.5,,,0.5,48.0,47.8,0.7,24.5,5.0,84.4,82.0%
Future Leaders Institute Charter School,Manhattan,13,s,34,2,,38.2,,,0.8,79.3,17.6,1.4,13.7,6.4,86.8,81.3%
Central Queens Academy Charter School,Queens,41,s,86,6,,47.7,,,18.5,12.0,65.8,3.5,9.0,9.2,86.0,75.1%
VOICE Charter School of New York,Queens,20,s,59,4,,33.9,,,14.7,12.6,59.8,8.7,16.1,17.3,81.8,67.6%
Growing Up Green Charter School,Queens,26,s,85,6,,30.6,,,12.5,12.3,36.9,31.4,21.1,8.7,47.1,52.9%
Challenge Preparatory Charter School,Queens,29,s,86,6,,33.7,,,1.0,80.2,15.0,1.8,15.1,2.6,81.3,71.0%
Riverton Street Charter School,Queens,33,s,78,5,,42.3,,,0.6,90.0,7.3,0.6,13.4,1.2,43.5,46.0%
Renaissance Charter School,Queens,13,s,53,4,,24.5,,,18.8,6.7,61.8,11.2,15.9,7.8,74.5,56.9%
Our World Neighborhood Charter School,Queens,35,s,63,4,,55.6,,,18.2,6.4,38.9,33.2,11.0,7.9,73.4,55.8%
John W. Lavelle Preparatory Charter School,Staten Island,16,s,113,8,,14.2,,,2.7,42.2,42.9,10.5,35.6,2.4,72.9,67.5%
New World Preparatory Charter School,Staten Island,26,s,125,9,,20.8,,,1.9,25.1,67.5,5.0,24.3,12.2,93.7,82.4%
Grand Concourse Charter School,Bronx,19,s,38,3,,50.0,,,3.6,34.7,58.0,2.0,10.0,14.3,88.9,79.3%
Mott Hall Charter School,Bronx,16,s,89,6,,18.0,,,0.4,36.6,59.4,1.2,17.7,15.7,93.3,91.9%
Bronx Lighthouse Charter School,Bronx,s,s,37,3,,#VALUE!,,,1.1,32.6,65.1,0.3,16.8,7.2,90.0,80.9%
Family Life Academy Charter School II,Bronx,30,s,50,4,,60.0,,,0.6,23.9,74.8,0.2,13.2,13.0,92.2,86.6%
Bronx Charter School for Excellence,Bronx,65,s,89,6,,73.0,,,24.1,39.4,33.9,1.2,9.1,9.0,77.3,60.0%
Hyde Leadership Charter School,Bronx,19,s,79,6,,24.1,,,0.4,30.2,68.4,0.5,22.5,13.0,90.4,84.1%
South Bronx Classical Charter School,Bronx,23,s,33,2,,69.7,,,2.4,36.4,58.8,1.8,11.7,18.8,88.1,82.8%
Icahn Charter School 2,Bronx,31,s,33,2,,93.9,,,5.3,30.6,59.7,2.5,11.2,5.3,66.3,58.8%
Bronx Global Learning Institute for Girls Charter,Bronx,22,s,43,3,,51.2,,,1.6,26.4,69.3,0.9,11.0,14.2,89.0,83.5%
Bronx Community Charter School,Bronx,19,s,51,4,,37.3,,,4.1,24.0,67.2,3.3,21.1,17.6,84.8,79.8%
Bronx Academy of Promise Charter School,Bronx,58,s,66,5,,87.9,,,1.6,40.4,57.0,0.2,14.9,12.3,88.4,84.9%
Icahn Charter School 3,Bronx,17,s,30,2,,56.7,,,2.8,63.5,29.7,2.8,9.6,2.5,81.4,59.5%
Atmosphere Charter School,Bronx,43,s,127,9,,33.9,,,2.0,18.1,77.8,1.0,22.2,12.2,86.0,80.6%
Metropolitan Lighthouse Charter School,Bronx,15,s,49,3,,30.6,,,0.4,38.1,58.5,1.2,10.2,14.4,88.3,87.3%
American Dream Charter School,Bronx,26,s,86,6,,30.2,,,0.0,6.1,93.0,0.3,17.1,17.4,96.2,91.4%
Dr. Richard Izquierdo Health and Science Charter S,Bronx,7,s,108,8,,6.5,,,0.6,26.2,70.6,1.5,20.7,10.4,90.7,87.6%
Girls Preparatory Charter School of the Bronx,Bronx,40,s,94,7,,42.6,,,0.4,33.8,62.3,1.2,17.7,5.8,86.7,81.0%
The Equality Charter School,Bronx,31,s,89,6,,34.8,,,1.6,65.0,31.7,0.9,20.2,3.1,78.0,62.4%
Academic Leadership Charter School,Bronx,32,s,83,6,,38.6,,,0.2,46.1,51.5,1.1,9.8,11.8,90.2,88.2%
South Bronx Early College Academy Charter School,Bronx,11,s,115,8,,9.6,,,0.3,32.2,66.4,0.9,27.4,12.4,88.8,86.6%
Success Academy Charter School - Bronx 1,Bronx,30,s,47,3,,63.8,,,1.4,54.1,42.3,0.4,11.2,4.0,80.5,81.7%
Icahn Charter School 4,Bronx,29,s,33,2,,87.9,,,2.8,60.9,32.2,1.3,7.5,0.3,73.1,63.6%
Icahn Charter School 5,Bronx,20,s,27,2,,74.1,,,4.1,58.0,31.0,5.6,6.9,0.9,65.2,53.0%
Bronx Preparatory Charter School,Bronx,22,s,115,8,,19.1,,,0.3,47.7,50.5,0.7,12.2,7.8,82.9,81.3%
KIPP Academy Charter School,Bronx,23,s,78,5,,29.5,,,0.2,41.3,56.5,0.6,17.5,10.8,87.4,80.7%
Harriet Tubman Charter School,Bronx,24,s,70,5,,34.3,,,0.4,62.9,34.6,0.7,8.8,11.2,79.1,87.2%
Icahn Charter School,Bronx,24,s,30,2,,80.0,,,1.2,49.8,48.3,0.0,7.3,7.3,84.2,79.6%
The 47 American Sign Language & English Lower School,Manhattan,,,10,1,1,,,,3.0,19.8,43.1,25.4,52.3,25.9,61.9,68.4%
Wadleigh Secondary School for the Performing & Visual Arts,Manhattan,,,16,1,1,,,,0.7,54.0,39.2,2.9,25.5,3.2,80.9,84.1%
KAPPA IV,Manhattan,,,45,3,3,,,,4.3,59.6,33.3,2.1,31.2,16.3,95.7,94.6%
I.S. 218 Salome Urena,Manhattan,,,65,5,5,,,,0.6,4.0,94.3,0.6,22.9,41.7,93.7,90.8%
New Directions Secondary School,Bronx,,,61,4,4,,,,0.9,24.8,69.2,0.9,32.9,35.5,95.7,96.1%
Satellite East Middle School,Brooklyn,,,29,2,2,,,,7.1,69.7,16.2,5.1,33.3,10.1,94.9,88.0%
Dock Street School for STEAM Studies,Brooklyn,,,15,1,1,,,,6.5,67.8,19.6,5.5,25.1,1.5,72.4,65.7%
P.S. 288 The Shirley Tanyhill,Brooklyn,,,51,4,4,,,,1.7,59.9,32.1,5.9,29.4,6.0,92.6,94.9%
Brownsville Collaborative Middle School,Brooklyn,,,30,2,2,,,,0.0,65.7,30.6,0.9,35.2,9.3,90.7,95.9%
P.S. 183 Dr. Richard R. Green,Queens,,,53,4,4,,,,3.0,55.8,31.8,5.5,32.2,5.9,92.8,90.8%
P.S. 111 Jacob Blackwell,Queens,,,25,2,2,,,,4.1,49.7,41.8,3.2,30.4,14.2,95.6,97.0%
P.S. 36,Brooklyn,,,21,1,1,,,,4.8,63.5,23.7,6.4,99.7,8.7,90.1,92.3%
P.S. K053,Brooklyn,,,34,2,2,,,,9.3,36.9,36.5,11.6,100.0,27.8,88.8,90.1%
P.S. K077,Brooklyn,,,16,1,1,,,,15.8,40.8,22.5,20.4,99.6,26.4,84.2,87.2%
P.S. K141,Brooklyn,,,43,3,3,,,,4.3,43.7,36.0,15.4,100.0,22.6,88.9,92.2%
P.S. K231,Brooklyn,,,15,1,1,,,,19.3,29.0,23.3,27.6,99.7,32.7,82.7,84.8%
P.S. 368,Brooklyn,,,34,2,2,,,,2.5,57.4,31.6,8.0,96.2,10.1,92.0,94.2%
P.S. 370,Brooklyn,,,48,3,3,,,,12.3,30.8,28.1,27.7,99.6,29.2,82.2,86.2%
P.S. K396,Brooklyn,,,22,2,2,,,,5.6,45.7,18.2,10.3,99.4,24.6,91.2,92.7%
P.S. K771,Brooklyn,,,37,3,3,,,,15.6,35.2,23.3,24.8,100.0,16.5,83.3,86.0%
P.S. K811 Connie Lekas School,Brooklyn,,,19,1,1,,,,9.0,51.6,21.5,14.6,99.7,29.6,91.6,92.8%
P.S. 138,Manhattan,,,44,3,3,,,,3.8,30.4,57.6,7.5,99.8,29.0,91.7,93.6%
P.S. M169 - Robert F. Kennedy,Manhattan,,,31,2,2,,,,1.1,50.0,43.5,3.8,99.7,11.6,93.0,94.8%
P.S. M226,Manhattan,,,19,1,1,,,,4.4,35.3,48.0,9.1,100.0,18.2,85.1,87.9%
P.S. M811 - Mickey Mantle School,Manhattan,,,26,2,2,,,,1.6,42.1,50.9,4.8,99.7,16.4,88.5,91.6%
P.S. Q004,Queens,,,19,1,1,,,,24.3,26.1,32.2,12.4,99.5,13.9,75.2,77.2%
P.S. 009,Queens,,,61,4,4,,,,11.1,32.9,44.7,10.6,99.7,29.2,82.1,83.8%
P.S. Q023 @ Queens Children Center,Queens,,,30,2,2,,,,10.2,39.3,26.8,21.7,80.8,4.8,83.4,83.4%
Robert E. Peary School,Queens,,,55,4,4,,,,14.2,30.1,41.5,8.4,99.8,30.4,81.1,83.6%
P.S. Q177,Queens,,,71,5,5,,,,19.8,31.6,22.5,24.3,99.6,24.5,78.3,79.5%
P.S. Q224,Queens,,,24,2,2,,,,22.7,19.8,31.2,9.4,100.0,20.8,70.3,72.8%
P.S. Q233,Queens,,,19,1,1,,,,16.9,32.5,28.8,16.0,100.0,26.7,85.4,86.8%
P.S. Q255,Queens,,,23,2,2,,,,19.2,10.5,37.5,29.9,99.8,40.1,76.2,77.9%
P.S. Q256,Queens,,,37,3,3,,,,5.9,50.4,31.2,11.8,86.9,13.1,80.0,85.6%
The Riverview School,Queens,,,47,3,3,,,,25.1,17.9,40.9,14.4,99.8,42.2,77.9,80.0%
P.S. Q811,Queens,,,16,1,1,,,,19.2,33.3,27.6,14.6,99.8,22.8,82.7,83.9%
P.S. Q993,Queens,,,21,1,1,,,,21.1,18.3,38.7,20.3,99.8,39.2,78.9,81.1%
P.S. R037,Staten Island,,,23,2,2,,,,5.4,15.2,31.1,45.5,100.0,6.9,77.4,78.7%
P.S. R373,Staten Island,,,9,1,1,,,,4.6,26.0,30.9,34.9,100.0,13.3,80.5,82.2%
The Richard H. Hungerford School,Staten Island,,,36,3,3,,,,6.5,18.9,33.2,39.5,99.6,14.9,91.4,93.0%
P.S. X010,Bronx,,,39,3,3,,,,1.5,33.9,56.8,6.7,100.0,22.3,91.4,93.4%
P.S. X012 Lewis and Clark School,Bronx,,,16,1,1,,,,3.9,29.6,55.9,3.9,100.0,32.6,92.8,94.9%
P186X Walter J. Damrosch School,Bronx,,,56,4,4,,,,1.9,40.5,52.7,3.4,99.5,28.8,92.9,95.4%
P.S. X188,Bronx,,,74,5,5,,,,2.6,37.0,55.6,3.6,99.6,23.3,89.3,93.3%
P.S. 723,Bronx,,,51,4,4,,,,1.3,34.4,55.7,5.8,98.3,9.2,94.4,95.6%
Restart Academy,Manhattan,,,145,10,10,,,,3.2,37.3,46.6,10.4,39.4,12.9,85.3,88.0%
Passages Academy,Bronx,,,35,2,2,,,,0.0,56.1,34.1,8.5,57.8,8.5,100.0,94.9%
